supplier_id,facility_id,freight_cost_per_unit,tariff_rate
S1,F1,180,0.0
S1,F2,950,0.05
S1,F3,1200,0.07
S1,F4,980,0.08
S1,F5,1350,0.06
S2,F1,160,0.0
S2,F2,920,0.05
S2,F3,1150,0.07
S2,F4,940,0.08
S2,F5,1300,0.06
S3,F1,1400,0.03
S3,F2,1550,0.04
S3,F3,820,0.09
S3,F4,1100,0.02
S3,F5,650,0.05
S4,F1,980,0.06
S4,F2,1050,0.1
S4,F3,420,0.12
S4,F4,1250,0.25
S4,F5,380,0.04
S5,F1,1020,0.06
S5,F2,1080,0.1
S5,F3,450,0.12
S5,F4,1280,0.25
S5,F5,400,0.04
S6,F1,1150,0.04
S6,F2,1500,0.06
S6,F3,180,0.0
S6,F4,1400,0.06
S6,F5,620,0.05
S7,F1,1180,0.04
S7,F2,1520,0.06
S7,F3,160,0.0
S7,F4,1420,0.06
S7,F5,640,0.05
S8,F1,880,0.03
S8,F2,420,0.0
S8,F3,1450,0.1
S8,F4,180,0.0
S8,F5,1500,0.06
S9,F1,900,0.03
S9,F2,400,0.0
S9,F3,1480,0.1
S9,F4,160,0.0
S9,F5,1520,0.06
S10,F1,1300,0.03
S10,F2,1600,0.05
S10,F3,720,0.08
S10,F4,1250,0.03
S10,F5,580,0.04
